24.0,64.0,2022-06-23 11:19:22
24.0,64.0,2022-06-23 11:20:23
24.0,64.0,2022-06-23 11:21:24
24.0,65.0,2022-06-23 11:22:24
24.0,66.0,2022-06-23 11:23:25
24.0,66.0,2022-06-23 11:24:25
24.0,66.0,2022-06-23 11:25:26
24.0,66.0,2022-06-23 11:26:26
24.0,66.0,2022-06-23 11:27:27
24.0,66.0,2022-06-23 11:28:28
24.0,65.0,2022-06-23 11:29:28
24.0,65.0,2022-06-23 11:30:29
24.0,65.0,2022-06-23 11:31:29
24.0,65.0,2022-06-23 11:32:30
24.0,65.0,2022-06-23 11:33:31
24.0,65.0,2022-06-23 11:34:31
24.0,65.0,2022-06-23 11:35:32
24.0,65.0,2022-06-23 11:36:32
24.0,65.0,2022-06-23 11:37:33
24.0,66.0,2022-06-23 11:38:33
24.0,66.0,2022-06-23 11:39:34
24.0,66.0,2022-06-23 11:40:35
24.0,66.0,2022-06-23 11:41:35
24.0,66.0,2022-06-23 11:42:36
24.0,66.0,2022-06-23 11:43:36
23.0,67.0,2022-06-23 11:44:37
23.0,68.0,2022-06-23 11:45:38
24.0,69.0,2022-06-23 11:46:38
24.0,69.0,2022-06-23 11:47:39
24.0,69.0,2022-06-23 11:48:39
23.0,69.0,2022-06-23 11:49:40
23.0,69.0,2022-06-23 11:50:40
23.0,69.0,2022-06-23 11:51:41
23.0,69.0,2022-06-23 11:52:42
23.0,69.0,2022-06-23 11:53:42
23.0,69.0,2022-06-23 11:54:43
23.0,69.0,2022-06-23 11:55:43
23.0,69.0,2022-06-23 11:56:44
23.0,69.0,2022-06-23 11:57:45
23.0,69.0,2022-06-23 11:58:45
23.0,69.0,2022-06-23 11:59:46
23.0,69.0,2022-06-23 12:00:46
23.0,69.0,2022-06-23 12:01:47
24.0,69.0,2022-06-23 12:02:47
24.0,69.0,2022-06-23 12:03:48
24.0,69.0,2022-06-23 12:04:49
24.0,69.0,2022-06-23 12:05:49
24.0,69.0,2022-06-23 12:06:50
24.0,69.0,2022-06-23 12:07:50
24.0,69.0,2022-06-23 12:08:51
24.0,69.0,2022-06-23 12:09:52
24.0,69.0,2022-06-23 12:10:52
24.0,69.0,2022-06-23 12:11:53
24.0,69.0,2022-06-23 12:12:56
24.0,69.0,2022-06-23 12:13:56
24.0,69.0,2022-06-23 12:14:57
24.0,69.0,2022-06-23 12:15:57
24.0,69.0,2022-06-23 12:16:58
24.0,69.0,2022-06-23 12:17:59
24.0,69.0,2022-06-23 12:18:59
24.0,69.0,2022-06-23 12:20:00
23.0,69.0,2022-06-23 12:21:00
24.0,69.0,2022-06-23 12:22:01
24.0,69.0,2022-06-23 12:23:02
23.0,69.0,2022-06-23 12:24:02
23.0,69.0,2022-06-23 12:25:03
24.0,69.0,2022-06-23 12:26:03
24.0,69.0,2022-06-23 12:27:04
24.0,69.0,2022-06-23 12:28:04
24.0,69.0,2022-06-23 12:29:05
24.0,69.0,2022-06-23 12:30:06
24.0,69.0,2022-06-23 12:31:06
24.0,69.0,2022-06-23 12:32:07
23.0,69.0,2022-06-23 12:33:07
23.0,69.0,2022-06-23 12:34:08
23.0,69.0,2022-06-23 12:35:08
23.0,69.0,2022-06-23 12:36:09
23.0,69.0,2022-06-23 12:37:09
23.0,69.0,2022-06-23 12:38:10
23.0,69.0,2022-06-23 12:39:11
23.0,69.0,2022-06-23 12:40:11
23.0,69.0,2022-06-23 12:41:12
23.0,69.0,2022-06-23 12:42:12
23.0,69.0,2022-06-23 12:43:13
23.0,69.0,2022-06-23 12:44:14
23.0,69.0,2022-06-23 12:45:14
23.0,69.0,2022-06-23 12:46:15
23.0,69.0,2022-06-23 12:47:15
23.0,69.0,2022-06-23 12:48:16
23.0,69.0,2022-06-23 12:49:16
23.0,69.0,2022-06-23 12:50:17
23.0,69.0,2022-06-23 12:51:18
23.0,69.0,2022-06-23 12:52:18
23.0,69.0,2022-06-23 12:53:19
23.0,69.0,2022-06-23 12:54:19
